Date,Index,Change,sentiment,sentiment_score
2021-11-04,3819.645,-0.21,0,0.6906387209892273
2021-11-01,3822.855,-0.57,1,0.7210127711296082
2021-10-28,3862.439,-0.42,-1,0.7560781538486481
2021-10-27,3878.673,-0.33,0,0.7949535846710205
2021-10-26,3891.707,0.93,1,0.7686203320821127
2021-10-25,3855.851,-0.14,1,0.9290722012519836
2021-10-22,3861.111,0.04,0,0.8107767701148987
2021-10-21,3859.439,-0.6,1,0.6992771327495575
2021-10-19,3893.754,-0.24,-1,0.9392102360725404
2021-10-15,3903.518,-1.01,0,0.6687057614326477
2021-10-14,3943.303,-0.25,0,0.601628303527832
2021-10-13,3953.326,0.0,0,0.7135010957717896
2021-10-11,3958.267,-0.06,1,0.7937273343404134
2021-10-08,3960.473,1.67,1,0.7952293753623962
2021-10-07,3895.552,-0.23,1,0.8074913024902344
2021-10-06,3904.372,0.31,0,0.9089434146881104
2021-10-05,3892.156,0.08,0,0.7675349473953247
2021-10-01,3867.223,-0.22,1,0.767713189125061
2021-09-30,3875.656,-0.23,1,0.8606806546449661
2021-09-28,3880.951,-0.27,0,0.6975381076335907
2021-09-27,3891.593,0.06,1,0.7271952033042908
2021-09-24,3889.222,0.21,0,0.8903867900371552
2021-09-23,3881.104,0.16,1,0.9220817685127258
