iter	Passed	Remaining
558	10522	8301
559	10542	8283
560	10565	8268
561	10589	8252
562	10611	8236
563	10634	8221
564	10699	8237
565	10740	8235
566	10775	8228
567	10807	8219
568	10846	8215
569	10880	8208
570	10913	8199
571	10943	8188
572	10971	8175
573	10996	8161
574	11014	8141
575	11032	8120
