date,majority_sentiment,average_sentiment
2020-03-03,2,0.9151433308919271
2020-03-04,2,0.9400759339332581
2020-03-05,2,0.8409944176673889
2020-03-06,2,0.7800688573292324
2020-03-08,2,0.7947248816490173
2020-03-09,0,0.47025951743125916
2020-03-10,2,0.8966560065746307
2020-03-11,2,0.7305350502332052
2020-03-12,0,0.8338274459044138
2020-03-13,2,0.6759564876556396
2020-03-15,0,0.6084452867507935
2020-03-16,2,0.8997329473495483
2020-03-17,1,0.9693184494972229
2020-03-18,1,0.7785402983427048
2020-03-19,1,0.8070658206939697
2020-03-22,2,0.7743295828501383
2020-03-23,1,0.7747838695844015
2020-03-24,2,0.7039974927902222
2020-03-25,2,0.8614818453788757
2020-03-26,2,0.8063545823097229
2020-03-27,2,0.8725889325141907
2020-03-28,2,0.8988937735557556
2020-03-29,1,0.9562987685203552
2020-03-30,0,0.8590947985649109
2020-03-31,2,0.6439759135246277
2020-04-01,2,0.8086638569831848
2020-04-02,2,0.8324951767921448
2020-04-03,2,0.8217223584651947
2020-04-04,0,0.7723621129989624
2020-04-06,1,0.8499460071325302
2020-04-07,1,0.8746289610862732
2020-04-08,1,0.8644942343235016
2020-04-09,2,0.832649752497673
2020-04-10,2,0.7421381175518036
2020-04-11,2,0.7971397340297699
2020-04-12,0,0.8088395595550537
2020-04-13,2,0.6430759429931641
2020-04-14,0,0.6730124950408936
2020-04-15,0,0.6039913445711136
2020-04-16,0,0.8323727051417033
2020-04-17,2,0.8171126246452332
2020-04-18,0,0.848166286945343
2020-04-19,1,0.9580576419830322
2020-04-20,0,0.6912055909633636
2020-04-21,2,0.927638053894043
2020-04-22,0,0.8456124663352966
2020-04-23,2,0.9242656230926514
2020-04-24,0,0.872011236846447
2020-04-28,0,0.7411449909210205
2020-04-29,2,0.8758220314979553
2020-04-30,0,0.9308813214302063
2020-05-04,1,0.8972665667533875
2020-05-05,1,0.9628670811653137
2020-05-06,2,0.7662558257579803
2020-05-07,1,0.9665819406509399
2020-05-11,0,0.9431118369102478
2020-05-12,1,0.7694393172860146
2020-05-13,2,0.9581736326217651
2020-05-14,1,0.9681653082370758
2020-05-15,1,0.8306311766306559
2020-05-18,2,0.6854701638221741
2020-05-19,2,0.7757012248039246
2020-05-20,2,0.9321742653846741
2020-05-21,1,0.9696650505065918
2020-05-22,2,0.7628476222356161
2020-05-23,2,0.9041255712509155
2020-05-25,1,0.9739998579025269
2020-05-26,2,0.921267181634903
2020-05-27,2,0.7106806039810181
2020-05-28,2,0.9385953545570374
2020-05-29,0,0.8704564571380615
2020-06-01,0,0.9088837305704752
2020-06-02,2,0.7925290067990621
2020-06-03,2,0.9194095432758331
2020-06-04,0,0.8156544208526612
2020-06-05,1,0.966562032699585
2020-06-07,0,0.9148778319358826
2020-06-08,2,0.9260385036468506
2020-06-09,2,0.695045992732048
2020-06-10,1,0.9039745728174845
2020-06-15,1,0.8528394103050232
2020-06-16,1,0.8002573251724243
2020-06-19,1,0.9662209153175354
2020-06-23,0,0.6224759817123413
2020-06-24,2,0.9374641180038452
2020-06-25,1,0.7067697644233704
2020-06-26,2,0.9425380229949951
2020-06-30,2,0.8637445867061615
2020-07-01,2,0.7853272259235382
2020-07-02,2,0.8579333424568176
